YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2012,Sweden,S60 T5,COMPACT,2.5,5,AS6,X,10.5,6.6,8.8,32,202
2012,Sweden,S60 T6 AWD,COMPACT,3.0,6,AS6,X,11.3,7.7,9.7,29,223
2012,Sweden,S80 3.2,MID-SIZE,3.2,6,AS6,X,10.4,6.9,8.8,32,202
2012,Sweden,S80 T6 AWD,MID-SIZE,3.0,6,AS6,X,11.3,7.7,9.7,29,223
2012,Sweden,XC60 3.2,SUV,3.2,6,AS6,X,11.2,7.8,9.7,29,223
2012,Sweden,XC60 3.2 AWD,SUV,3.2,6,AS6,X,11.6,8.2,10.0,28,230
2012,Sweden,XC60 T6 AWD,SUV,3.0,6,AS6,X,12.1,8.5,10.5,27,242
2012,Sweden,XC70 3.2,SUV,3.2,6,AS6,X,11.2,7.8,9.7,29,223
2012,Sweden,XC70 3.2 AWD,SUV,3.2,6,AS6,X,11.6,8.2,10.0,28,230
2012,Sweden,XC70 T6 AWD,SUV,3.0,6,AS6,X,12.1,8.5,10.5,27,242
2012,Sweden,XC90 3.2,SUV,3.2,6,AS6,X,12.9,8.7,11.0,26,253
2012,Sweden,XC90 3.2 AWD,SUV,3.2,6,AS6,X,13.2,8.8,11.2,25,258
2013,Japan,ILX,COMPACT,2.0,4,AS5,Z,8.6,5.6,7.2,39,166
2013,Japan,ILX,COMPACT,2.4,4,M6,Z,9.8,6.5,8.3,34,191
2013,Japan,ILX HYBRID,COMPACT,1.5,4,AV7,Z,5.0,4.8,4.9,58,113
2013,Japan,MDX AWD,SUV - SMALL,3.7,6,AS6,Z,13.2,9.6,11.6,24,267
2013,Japan,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,10.7,7.3,9.2,31,212
2013,Japan,TL,MID-SIZE,3.5,6,AS6,Z,10.4,6.8,8.8,32,202
2013,Japan,TL AWD,MID-SIZE,3.7,6,AS6,Z,11.4,7.6,9.7,29,223
2013,Japan,TL AWD,MID-SIZE,3.7,6,M6,Z,11.9,8.0,10.2,28,235
2013,Japan,TSX,COMPACT,2.4,4,AS5,Z,9.3,6.2,7.9,36,182
2013,Japan,TSX,COMPACT,2.4,4,M6,Z,9.9,6.8,8.5,33,196
2013,Japan,TSX,COMPACT,3.5,6,AS5,Z,10.7,7.0,9.0,31,207
2013,Japan,ZDX AWD,SUV - SMALL,3.7,6,AS6,Z,12.7,8.8,10.9,26,251
2013,United_Kingdom,DB9,MINICOMPACT,5.9,12,A6,Z,16.2,10.7,13.7,21,315
2013,United_Kingdom,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,15.7,9.6,12.9,22,297
2013,United_Kingdom,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,16.3,10.4,13.7,21,315
2013,United_Kingdom,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,15.7,9.6,12.9,22,297
2013,United_Kingdom,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,16.3,10.4,13.7,21,315
2013,Germany,A3,STATION WAGON - SMALL,2.0,4,AS6,Z,9.4,6.9,8.3,34,191
